Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2005-06,20,NOK,NBA,PG,78,2808,22.1,0.546,0.187,0.491,2.5,14.8,8.5,38.2,3.4,0.2,13.7,22.2,,6.8,3.6,10.4,0.178,,4.7,1.4,6.1,5.7
2006-07,21,NOK,NBA,PG,64,2353,22,0.537,0.164,0.41,2.6,11.3,6.9,41.3,2.7,0.1,13.5,23.1,,6.2,2.6,8.8,0.179,,4.5,0.1,4.6,3.9
2007-08,22,NOH,NBA,PG,80,3006,28.3,0.576,0.193,0.302,2.4,10.3,6.2,52.2,3.9,0.1,12.1,25.7,,13.2,4.6,17.8,0.284,,8.3,0.9,9.2,8.5
2008-09,23,NOH,NBA,PG,78,3002,30,0.599,0.14,0.418,2.8,14.6,8.7,54.5,3.9,0.3,13.5,27.5,,13.3,5,18.3,0.292,,9.1,2.1,11.2,10
2009-10,24,NOH,NBA,PG,45,1712,23.7,0.584,0.199,0.298,1.3,11.9,6.5,45.4,2.9,0.4,13.5,22.2,,5.7,1.5,7.3,0.204,,5.2,-0.4,4.9,3
2010-11,25,NOH,NBA,PG,80,2880,23.7,0.578,0.197,0.414,1.6,12.3,6.9,45.8,3.5,0.1,13.9,21.1,,9.5,4.4,13.9,0.232,,5.4,1,6.4,6.1
2011-12,26,LAC,NBA,PG,60,2181,27,0.581,0.239,0.339,2.3,9.4,5.8,43.8,3.8,0.2,10.8,24.3,,10.4,2.3,12.7,0.278,,8,-0.1,7.9,5.4
2012-13,27,LAC,NBA,PG,70,2335,26.4,0.594,0.271,0.377,2.8,10.5,6.7,46.5,3.8,0.4,13.7,22.6,,10.6,3.4,13.9,0.287,,7.2,0.3,7.5,5.6
2013-14,28,LAC,NBA,PG,62,2171,25.9,0.58,0.244,0.397,2,11.4,6.9,48.9,3.5,0.1,12.4,23.7,,9,3.2,12.2,0.27,,6.8,0.6,7.4,5.2
2014-15,29,LAC,NBA,PG,82,2857,26,0.596,0.298,0.274,2.1,12.5,7.4,47.4,2.8,0.4,12.7,23.7,,12.9,3.2,16.1,0.27,,7.5,0,7.5,6.9
2015-16,30,LAC,NBA,PG,74,2420,26.2,0.575,0.295,0.294,1.8,12,7,52.7,3.1,0.4,13.4,27.1,,9.2,3.5,12.7,0.253,,7.3,0.5,7.8,6
2016-17,31,LAC,NBA,PG,61,1921,26.2,0.614,0.385,0.331,2.4,15,8.9,46.8,3.1,0.3,14,24.4,,7.9,2.6,10.6,0.264,,7.8,1.1,8.8,5.3
2017-18,32,HOU,NBA,PG,58,1847,24.4,0.604,0.475,0.277,2.3,16.7,9.5,40.9,2.6,0.6,12.5,24.5,,7.5,2.7,10.2,0.265,,6.2,0.9,7.1,4.2
2018-19,33,HOU,NBA,PG,58,1857,19.7,0.56,0.493,0.282,2.1,13.9,7.9,39.3,3,0.8,15.8,22.5,,4.4,2.2,6.6,0.172,,2.9,0.2,3,2.4
