Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,21,GSW,NBA,PG,80,2896,16.3,0.568,0.332,0.175,1.8,12,6.8,24.6,2.5,0.5,16.5,21.8,,3,1.6,4.7,0.077,,1.8,-0.7,1,2.2
2010-11,22,GSW,NBA,PG,74,2489,19.4,0.595,0.325,0.216,2.3,10.9,6.5,28.1,2.2,0.6,16.4,24.4,,5.4,1.3,6.6,0.128,,3.5,-1.6,1.9,2.4
2011-12,23,GSW,NBA,PG,26,732,21.2,0.605,0.409,0.159,2.3,11.3,6.8,32.3,2.8,0.8,17,24,,1.8,0.4,2.2,0.144,,4.7,-1.3,3.4,1
2012-13,24,GSW,NBA,PG,78,2983,21.3,0.589,0.432,0.21,2.3,9.1,5.8,31.1,2.1,0.3,13.7,26.4,,8.4,2.8,11.2,0.18,,6.3,-0.9,5.4,5.6
2013-14,25,GSW,NBA,PG,78,2846,24.1,0.61,0.445,0.252,1.8,10.9,6.4,39.9,2.2,0.4,16.1,28.3,,9.3,4,13.4,0.225,,7.4,0,7.4,6.7
2014-15,26,GSW,NBA,PG,80,2613,28,0.638,0.482,0.251,2.4,11.4,7,38.6,3,0.5,14.3,28.9,,11.5,4.1,15.7,0.288,,9.6,0.3,9.9,7.9
2015-16,27,GSW,NBA,PG,79,2700,31.5,0.669,0.554,0.25,2.9,13.6,8.6,33.7,3,0.4,12.9,32.6,,13.8,4.1,17.9,0.318,,12.4,0.1,12.5,9.8
2016-17,28,GSW,NBA,PG,79,2638,24.6,0.624,0.547,0.251,2.7,11.4,7.3,31.2,2.6,0.5,13,30.1,,8.7,3.9,12.6,0.229,,7.8,-0.4,7.3,6.2
2017-18,29,GSW,NBA,PG,51,1631,28.2,0.675,0.58,0.35,2.7,14.4,9,30.3,2.4,0.4,13.3,31,,7.2,1.9,9.1,0.267,,9.9,-1.3,8.6,4.4
2018-19,30,GSW,NBA,PG,69,2331,24.4,0.641,0.604,0.214,2.2,14.2,8.4,24.2,1.9,0.9,11.6,30.4,,7.2,2.5,9.7,0.199,,7.7,-1.4,6.3,4.9
2019-20,31,GSW,NBA,PG,4,112,21,0.548,0.561,0.273,3.7,15.8,9.6,42.7,2.1,1.6,16.9,33.8,,0.1,0.1,0.2,0.084,,4.8,-1.1,3.6,0.2
