Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
1,D.J. Augustin,PG,26,TOT,71,9,1939,8.2,19.7,0.415,3.6,9.1,0.401,4.5,10.6,0.427,5.5,6.2,0.885,0.4,3.2,3.6,8.6,1.5,0.1,3.4,4,25.5,113,105
2,Leandro Barbosa,PG,31,PHO,20,0,368,7.6,17.8,0.427,1,3.4,0.28,6.7,14.4,0.462,4.2,5.3,0.795,0.7,4.4,5,4.4,1,0.5,2.6,4.1,20.4,103,110
3,J.J. Barea,PG,29,MIN,79,1,1471,8.5,22,0.387,2.4,7.7,0.316,6.1,14.2,0.426,2.6,3.4,0.79,0.5,4.6,5.2,10.2,0.9,0,4.2,4.3,22.1,98,110
4,Jerryd Bayless,PG,25,TOT,72,19,1686,7.7,19.1,0.402,2.4,6.6,0.358,5.3,12.5,0.425,2.9,3.7,0.797,0.7,3.8,4.5,6,1.9,0.3,2.5,5,20.6,103,109
5,Patrick Beverley,PG,25,HOU,56,55,1751,5.7,13.7,0.414,2.6,7.3,0.361,3,6.4,0.473,2.4,2.9,0.814,2,3.5,5.6,4.3,2.2,0.7,1.9,5,16.3,115,108
6,Steve Blake,PG,33,TOT,55,28,1498,4.4,11.6,0.377,2.6,6.9,0.376,1.8,4.7,0.378,1.1,1.4,0.767,0.4,4.8,5.2,10.1,1.8,0.3,3.3,2.8,12.4,103,109
7,Eric Bledsoe,PG,24,PHO,43,40,1416,9.4,19.7,0.477,1.8,5,0.357,7.6,14.7,0.517,6.5,8.4,0.772,1,6.2,7.2,8.3,2.4,0.5,5.1,3.5,27,110,106
8,Aaron Brooks,PG,29,TOT,72,12,1557,7.4,18.4,0.401,3,7.9,0.387,4.3,10.6,0.411,2.6,3,0.874,1.4,3.1,4.4,7.4,1.6,0.4,3.7,4.6,20.4,105,110
9,Lorenzo Brown,PG,23,PHI,26,0,224,5.6,18.6,0.302,0.6,6.5,0.1,5,12.1,0.411,1.9,2.8,0.692,1.7,4.3,6.1,8.9,2.8,0.6,3.5,4.1,13.8,82,109
10,Trey Burke,PG,21,UTA,70,68,2262,7.9,20.8,0.38,2.6,7.8,0.33,5.3,13,0.41,2.4,2.6,0.903,0.9,4,4.8,9.2,1,0.1,3,3.4,20.8,101,115
11,Dwight Buycks,PG,24,TOR,14,0,146,5.4,17.2,0.313,1.8,6.1,0.294,3.6,11.1,0.323,2.9,3.2,0.889,1.4,6.8,8.2,3.6,2.9,0,3.6,3.9,15.4,84,103
12,Will Bynum,PG,31,DET,56,3,1054,8.8,20.6,0.428,1,3,0.323,7.9,17.7,0.446,4.7,5.8,0.802,1.2,3.6,4.7,10.4,1.9,0.3,4.9,5.8,23.3,102,112
13,José Calderón,PG,32,DAL,81,81,2468,7.1,15.6,0.456,4,8.8,0.449,3.1,6.7,0.464,1.1,1.3,0.825,0.6,3.4,4,7.8,1.4,0.2,2.1,2.8,19.2,120,112
14,Isaiah Canaan,PG,22,HOU,22,0,252,6.1,17.2,0.356,3.6,10.9,0.327,2.6,6.3,0.406,4.2,5.7,0.724,1.4,3.4,4.7,4.4,1.6,0.8,4.2,4.9,20,97,109
15,Michael Carter-Williams,PG,22,PHI,70,70,2414,8.6,21.1,0.405,1.1,4.2,0.264,7.5,17,0.44,5.2,7.4,0.703,2,6.7,8.8,8.8,2.6,0.9,5,4.3,23.4,96,108
