,PER,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ORPM,DRPM,RPM,RPM_WINS
PER,1.0,0.7628093819817965,-0.20652292169441405,0.5165888772830842,0.15073083140183186,0.2797307313939714,0.5159488941259399,0.4738307787512125,0.09284086492315416,-0.3951301570315977,0.7697650293157239,0.871760367456759,0.6726869161246694,0.8904157702702454,0.9064136476525725,0.9488669784639615,0.368183499920189,0.921954079322546,0.8986383392534527,0.8762909114241962,0.20581290233049848,0.7983188060998626,0.8178820050337378
TS%,0.7628093819817965,1.0,0.12124715706986433,0.3992839757239686,-0.04243414424361757,-0.07220942771098952,-0.009555523738446974,0.15347197858978384,0.05971322096726707,-0.3963969654255753,0.38342947179677667,0.8151624290930677,0.5147612343404231,0.803579747922745,0.8701525591047908,0.8217313614125678,0.17837656750025344,0.7536385558920483,0.6800390511543324,0.7102729604414649,0.11624911932955094,0.6244290078518357,0.638147530719605
3PAr,-0.20652292169441405,0.12124715706986433,1.0,-0.3936536582175879,-0.23916561466845185,-0.45227751138707684,-0.5256320238914471,-0.2635202911446714,-0.16030210194040292,-0.17584569167154762,-0.2570047939728896,0.06069157024128664,-0.11982552539758667,0.019901737081171905,0.060911357697675785,0.08034282801248992,-0.19770592573627127,0.0037906770436999734,-0.017661903242054265,0.05326512976434902,-0.014935868899352304,0.03623621081163899,0.0015554438479445003
FTr,0.5165888772830842,0.3992839757239686,-0.3936536582175879,1.0,0.16161825459173637,0.2510869260020887,0.3225318428847596,0.37377266551154636,0.12642447845342888,0.05519425642334045,0.4099622024891215,0.381698733593321,0.2942824283970424,0.38906320744445216,0.39259269404084884,0.37019565350640193,0.2379356639586718,0.38798075385886593,0.4063004461509486,0.43008442268325847,0.1322034028571488,0.4057815048048441,0.39123213189483946
ORB%,0.15073083140183186,-0.04243414424361757,-0.23916561466845185,0.16161825459173637,1.0,0.44489902972182316,0.06938759749610889,0.3404779234635538,0.0338492093295655,0.07951428264346298,0.080374333413207,-0.009254677257334993,0.14302281521196547,0.027547951093197093,0.08341868449070693,0.11219969859195626,0.5482422522265872,0.2777672942513695,0.20684681555400988,0.15769238410838848,0.292748466603711,0.25815940879484334,0.18365951348320636
DRB%,0.2797307313939714,-0.07220942771098952,-0.45227751138707684,0.2510869260020887,0.44489902972182316,1.0,0.5866522641295693,0.49788686484908923,0.02704900525641091,0.31395591173954895,0.22628408402927114,0.033505791362475806,0.2754177253154412,0.0997007351067321,0.06669294127936093,0.1418389801748651,0.6102487922890324,0.3217136932306696,0.30481182023197606,0.07810142506949219,0.3864101009295812,0.23595897582649733,0.20855924978564286
AST%,0.5159488941259399,-0.009555523738446974,-0.5256320238914471,0.3225318428847596,0.06938759749610889,0.5866522641295693,1.0,0.5464782557976624,-0.03262399338518234,0.28032874936875085,0.5175113959754258,0.32813165794613475,0.371757682626039,0.36536452936211,0.25494022543785383,0.31105390299134317,0.26256627607819705,0.3476305020545141,0.46361254695431947,0.35595862186611615,0.27645253676411247,0.41063646191349285,0.4466953348456231
STL%,0.4738307787512125,0.15347197858978384,-0.2635202911446714,0.37377266551154636,0.3404779234635538,0.49788686484908923,0.5464782557976624,1.0,0.2672400357883801,0.16095602289900376,0.2631048203056454,0.35078112074633705,0.5978854144179755,0.44307626094830505,0.36259192192038964,0.35281494067236074,0.6872342195744631,0.5240270963139162,0.5612809095950166,0.3191033966918751,0.6042761159646345,0.5277241358957765,0.557177176285347
BLK%,0.09284086492315416,0.05971322096726707,-0.16030210194040292,0.12642447845342888,0.0338492093295655,0.02704900525641091,-0.03262399338518234,0.2672400357883801,1.0,-0.16955222926198357,0.10700777746077543,-0.02824880093649138,0.4414812969665312,0.09352953745432831,0.087963341001937,0.02818456684110464,0.4868449467494365,0.1832546032161987,0.13280985382989802,-0.07065773096768889,0.2741529621548297,0.06581598898818594,0.13315898461705333
TOV%,-0.3951301570315977,-0.3963969654255753,-0.17584569167154762,0.05519425642334045,0.07951428264346298,0.31395591173954895,0.28032874936875085,0.16095602289900376,-0.16955222926198357,1.0,-0.31739900308398816,-0.3993006527310676,-0.13752132150196583,-0.36417418783615696,-0.511861803789916,-0.5182959284996939,0.06759646892735062,-0.41365370279589614,-0.28431320353842,-0.4239171746888554,0.22743081142332683,-0.23978030676519563,-0.20637895804694298
USG%,0.7697650293157239,0.38342947179677667,-0.2570047939728896,0.4099622024891215,0.080374333413207,0.22628408402927114,0.5175113959754258,0.2631048203056454,0.10700777746077543,-0.31739900308398816,1.0,0.49296178580578437,0.4559492244280654,0.5217550322287828,0.5063587090110491,0.6814606474544812,0.11957517353780775,0.6128166213009574,0.6123772101462841,0.5979506011209702,-0.057300212636448064,0.4562043419796715,0.49222216537620916
OWS,0.871760367456759,0.8151624290930677,0.06069157024128664,0.381698733593321,-0.009254677257334993,0.033505791362475806,0.32813165794613475,0.35078112074633705,-0.02824880093649138,-0.3993006527310676,0.49296178580578437,1.0,0.6047816380001574,0.9782811215797772,0.9371134425473246,0.9044840695380886,0.23449510012445252,0.8414450588613013,0.8986250223420456,0.8707799915304556,0.19712792632872567,0.7899889847290995,0.8638254505846146
DWS,0.6726869161246694,0.5147612343404231,-0.11982552539758667,0.2942824283970424,0.14302281521196547,0.2754177253154412,0.371757682626039,0.5978854144179755,0.4414812969665312,-0.13752132150196583,0.4559492244280654,0.6047816380001574,1.0,0.7564831021297435,0.6678331868875462,0.6265045615636933,0.7390629089721399,0.7770413593273904,0.8026410959047784,0.5310970733479112,0.5216855893955857,0.6615791698174048,0.7580040445135428
WS,0.8904157702702454,0.803579747922745,0.019901737081171905,0.38906320744445216,0.027547951093197093,0.0997007351067321,0.36536452936211,0.44307626094830505,0.09352953745432831,-0.36417418783615696,0.5217550322287828,0.9782811215797772,0.7564831021297435,1.0,0.9432393572848076,0.9057029033409488,0.3850374942606886,0.8931173745686768,0.9466342081553641,0.8530433366565484,0.296744793766502,0.8203006749863064,0.9062058510233909
WS/48,0.9064136476525725,0.8701525591047908,0.060911357697675785,0.39259269404084884,0.08341868449070693,0.06669294127936093,0.25494022543785383,0.36259192192038964,0.087963341001937,-0.511861803789916,0.5063587090110491,0.9371134425473246,0.6678331868875462,0.9432393572848076,1.0,0.9469340355827901,0.36560729304172956,0.9213475476448747,0.883491119490148,0.8796201134189047,0.2528475524922516,0.8220620873072488,0.8292072974272194
OBPM,0.9488669784639615,0.8217313614125678,0.08034282801248992,0.37019565350640193,0.11219969859195626,0.1418389801748651,0.31105390299134317,0.35281494067236074,0.02818456684110464,-0.5182959284996939,0.6814606474544812,0.9044840695380886,0.6265045615636933,0.9057029033409488,0.9469340355827901,1.0,0.31578587003747327,0.9482716783256325,0.8993798925067321,0.9166444856875346,0.1720600411662431,0.8157246051358182,0.8201468622232704
DBPM,0.368183499920189,0.17837656750025344,-0.19770592573627127,0.2379356639586718,0.5482422522265872,0.6102487922890324,0.26256627607819705,0.6872342195744631,0.4868449467494365,0.06759646892735062,0.11957517353780775,0.23449510012445252,0.7390629089721399,0.3850374942606886,0.36560729304172956,0.31578587003747327,1.0,0.6003664758682657,0.5554048073464338,0.25610937551327656,0.6520180356758156,0.4983372238963327,0.5060441882881022
BPM,0.921954079322546,0.7536385558920483,0.0037906770436999734,0.38798075385886593,0.2777672942513695,0.3217136932306696,0.3476305020545141,0.5240270963139162,0.1832546032161987,-0.41365370279589614,0.6128166213009574,0.8414450588613013,0.7770413593273904,0.8931173745686768,0.9213475476448747,0.9482716783256325,0.6003664758682657,1.0,0.9440473549236783,0.8579992826036081,0.3634656623197029,0.8541696574607957,0.8608562260898026
VORP,0.8986383392534527,0.6800390511543324,-0.017661903242054265,0.4063004461509486,0.20684681555400988,0.30481182023197606,0.46361254695431947,0.5612809095950166,0.13280985382989802,-0.28431320353842,0.6123772101462841,0.8986250223420456,0.8026410959047784,0.9466342081553641,0.883491119490148,0.8993798925067321,0.5554048073464338,0.9440473549236783,1.0,0.8575920620721986,0.3830423237514641,0.8626072231533819,0.9341473355030684
