,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,ORPM,DRPM,RPM,RPM_WINS
FG,6.073012477718359,11.204616755793227,0.06593440285204989,1.6611229946524062,3.6834937611408205,0.03304812834224598,4.438449197860963,7.517130124777183,0.08172976827094473,3.660695187165775,3.853814616755794,0.11070695187165774,-0.28114081996434936,0.34454545454545454,1.4020320855614976,-0.05073083778966127,0.12896613190730838,1.1467557932263814,-0.8224955436720145,17.46484848484849,11.085204991087346,-1.808556149732621,4.582376114081996,-0.44795900178253084,4.134417112299466,7.24071301247772
FGA,11.204616755793227,22.802745098039228,0.07360481283422461,2.935508021390374,7.281782531194296,0.020713547237076625,8.328324420677363,15.5178431372549,0.10205365418894834,7.128128342245992,7.472923351158645,0.23366613190730837,-0.32361853832442045,0.27363636363636396,1.6839928698752233,-0.5728342245989306,0.2271657754010696,2.084188948306596,-1.7154723707664885,32.46818181818181,13.504634581105174,-2.6748663101604286,7.56225311942959,-1.863436720142602,5.698816399286991,11.131602495543673
FG%,0.06593440285204989,0.07360481283422461,0.0018926024955436725,0.01709625668449198,0.019690374331550804,0.001322081996434938,0.04900516934046347,0.05372067736185385,0.002026092691622103,0.027612834224598936,0.030898395721925147,0.00021018894830659524,-0.00886791443850268,0.010306060606060605,0.035059893048128336,0.007971122994652403,0.002119607843137256,0.013934046345811048,-0.005689661319073091,0.1766484848484849,0.26391800356506245,-0.02833511586452763,0.06450561497326204,0.014407843137254912,0.07891345811051695,0.10991358288770056
3P,1.6611229946524062,2.935508021390374,0.01709625668449198,1.6618270944741527,3.651862745098039,0.040954278074866304,0.006942959001782663,-0.7091978609625667,0.025963992869875246,0.9904456327985743,0.8140730837789663,0.06713021390374332,-0.28449197860962566,-0.35469696969696973,-0.6855971479500892,-0.03274509803921571,-0.0786541889483066,-0.12834224598930477,-0.09959893048128353,5.994848484848484,7.300267379679145,-0.8352049910873439,2.1198199643493765,0.025295900178253068,2.145115864527629,3.8569438502673803
3PA,3.6834937611408205,7.281782531194296,0.019690374331550804,3.651862745098039,8.512950089126562,0.06981684491978608,0.04653297682709478,-1.215686274509804,0.044068449197860994,2.444349376114081,2.037032085561498,0.16456016042780744,-0.5115508021390375,-0.8919696969696966,-1.864046345811052,-0.14493761140819972,-0.1923618538324421,-0.3780748663101605,-0.17920677361853854,13.502727272727274,14.443761140819968,-1.985115864527629,4.586221033868092,-0.20630837789661313,4.37991265597148,8.18544652406417
3P%,0.03304812834224598,0.020713547237076625,0.001322081996434938,0.040954278074866304,0.06981684491978608,0.002404674688057041,-0.007702228163992866,-0.048984670231729054,0.0012620196078431372,0.015798752228164,0.01218992869875223,0.0010782450980392154,-0.018783422459893045,-0.015168181818181813,0.0010103386809269287,0.0011520499108734436,-0.002337344028520498,-0.00291033868092691,-0.00542718360071301,0.12399393939393938,0.3088707664884134,-0.012004456327985745,0.05980449197860962,0.010774153297682712,0.07057864527629236,0.09746744206773617
2P,4.438449197860963,8.328324420677363,0.04900516934046347,0.006942959001782663,0.04653297682709478,-0.007702228163992866,4.452807486631017,8.270926916221034,0.05594741532976826,2.6741176470588237,3.0429322638146163,0.04399723707664881,0.003778966131907325,0.6837878787878787,2.0470944741532975,-0.03479500891265601,0.20808377896613184,1.2759358288770053,-0.7242335115864528,11.536363636363637,3.7688948306595367,-0.9519607843137258,2.455752228163994,-0.5027967914438503,1.9529554367201432,3.3207139037433153
2PA,7.517130124777183,15.5178431372549,0.05372067736185385,-0.7091978609625667,-1.215686274509804,-0.048984670231729054,8.270926916221034,16.71704099821747,0.05771390374331548,4.6785918003565055,5.428092691622102,0.06941319073083774,0.180873440285205,1.1509090909090907,3.5480748663101602,-0.4313012477718362,0.4180926916221035,2.451016042780748,-1.5423885918003564,18.959696969696967,-0.894117647058826,-0.6502673796791436,2.987221033868093,-1.6553992869875223,1.33182174688057,2.974461675579321
2P%,0.08172976827094473,0.10205365418894834,0.002026092691622103,0.025963992869875246,0.044068449197860994,0.0012620196078431372,0.05594741532976826,0.05771390374331548,0.002412559714795009,0.036881461675579326,0.0394174688057041,0.0006294206773618535,-0.006931194295900175,0.012878787878787878,0.03009126559714792,0.011326559714795004,0.0019841354723707655,0.011869340463458106,-0.003838502673796786,0.22634242424242418,0.3187682709447416,-0.047893048128342226,0.08301098039215687,0.019138502673796787,0.10214948306595366,0.1486522994652407
FT,3.660695187165775,7.128128342245992,0.027612834224598936,0.9904456327985743,2.444349376114081,0.015798752228164,2.6741176470588237,4.6785918003565055,0.036881461675579326,5.13379679144385,5.644866310160427,0.12249554367201428,-0.16611408199643485,0.6478787878787879,1.9643850267379686,0.38274509803921575,0.15032085561497321,0.9777361853832442,-0.4769162210338681,13.432727272727272,11.72245989304813,-1.905704099821747,4.224149732620322,0.7562495543672014,4.980399286987524,8.36616221033868
FTA,3.853814616755794,7.472923351158645,0.030898395721925147,0.8140730837789663,2.037032085561498,0.01218992869875223,3.0429322638146163,5.428092691622102,0.0394174688057041,5.644866310160427,6.369884135472372,0.11027442067736183,-0.14131907308377892,0.8974242424242425,2.300588235294118,0.4842780748663102,0.22776292335115864,1.2145632798573975,-0.5412566844919786,14.149090909090912,11.755525846702321,-2.0038324420677363,4.310754010695188,0.9362263814616759,5.246980392156862,8.753551693404637
FT%,0.11070695187165774,0.23366613190730837,0.00021018894830659524,0.06713021390374332,0.16456016042780744,0.0010782450980392154,0.04399723707664881,0.06941319073083774,0.0006294206773618535,0.12249554367201428,0.11027442067736183,0.007552122103386813,-0.010609625668449195,-0.02113181818181819,-0.012340998217468847,-0.007596791443850278,-0.004604367201426025,-0.005392335115864537,-0.009722192513368965,0.4110939393939393,0.4148761140819963,-0.07401158645276291,0.1384142245989305,0.001834313725490187,0.1402485383244207,0.23431662210338672
ORB,-0.28114081996434936,-0.32361853832442045,-0.00886791443850268,-0.28449197860962566,-0.5115508021390375,-0.018783422459893045,0.003778966131907325,0.180873440285205,-0.006931194295900175,-0.16611408199643485,-0.14131907308377892,-0.010609625668449195,0.4572905525846703,0.4521212121212121,-0.1829768270944742,-0.011016042780748678,0.011711229946524073,-0.019750445632798572,0.11422459893048129,-0.99969696969697,-1.7105169340463455,-0.4112299465240642,-0.22389839572192516,0.1558360071301248,-0.06806238859180033,0.17948128342245986
DRB,0.34454545454545454,0.27363636363636396,0.010306060606060605,-0.35469696969696973,-0.8919696969696966,-0.015168181818181813,0.6837878787878787,1.1509090909090907,0.012878787878787878,0.6478787878787879,0.8974242424242425,-0.02113181818181819,0.4521212121212121,1.6456060606060607,1.791212121212121,0.46818181818181825,0.12015151515151516,0.6466666666666668,-0.02439393939393939,0.9863636363636363,0.7893939393939394,-1.413636363636364,0.9965151515151512,1.0180303030303033,2.014545454545454,3.799439393939395
AST,1.4020320855614976,1.6839928698752233,0.035059893048128336,-0.6855971479500892,-1.864046345811052,0.0010103386809269287,2.0470944741532975,3.5480748663101602,0.03009126559714792,1.9643850267379686,2.300588235294118,-0.012340998217468847,-0.1829768270944742,1.791212121212121,8.315614973262031,0.9939215686274512,0.005436720142602491,1.9668092691622103,-0.05853832442067731,4.072424242424242,6.074509803921568,-1.0488413547237079,3.5910017825311944,1.3202655971479504,4.9112673796791455,8.54114081996435
STL,-0.05073083778966127,-0.5728342245989306,0.007971122994652403,-0.03274509803921571,-0.14493761140819972,0.0011520499108734436,-0.03479500891265601,-0.4313012477718362,0.011326559714795004,0.38274509803921575,0.4842780748663102,-0.007596791443850278,-0.011016042780748678,0.46818181818181825,0.9939215686274512,0.4897326203208556,0.049732620320855604,0.20547237076648844,0.1364705882352941,0.2424242424242423,1.9812834224598934,-0.8720142602495542,0.6432691622103387,0.8889839572192514,1.5322531194295903,2.3769304812834227
BLK,0.12896613190730838,0.2271657754010696,0.002119607843137256,-0.0786541889483066,-0.1923618538324421,-0.002337344028520498,0.20808377896613184,0.4180926916221035,0.0019841354723707655,0.15032085561497321,0.22776292335115864,-0.004604367201426025,0.011711229946524073,0.12015151515151516,0.005436720142602491,0.049732620320855604,0.07897504456327988,0.083048128342246,0.0063190730837789765,0.32333333333333336,-0.19901960784313732,-0.09777183600713012,-0.011761140819964355,0.12746880570409985,0.11570766488413547,0.08764260249554366
TOV,1.1467557932263814,2.084188948306596,0.013934046345811048,-0.12834224598930477,-0.3780748663101605,-0.00291033868092691,1.2759358288770053,2.451016042780748,0.011869340463458106,0.9777361853832442,1.2145632798573975,-0.005392335115864537,-0.019750445632798572,0.6466666666666668,1.9668092691622103,0.20547237076648844,0.083048128342246,1.0501604278074865,-0.08570409982174687,3.141818181818182,-0.24723707664884112,-0.3784313725490195,0.8099679144385027,0.01770409982174693,0.8276720142602498,1.7619803921568629
PF,-0.8224955436720145,-1.7154723707664885,-0.005689661319073091,-0.09959893048128353,-0.17920677361853854,-0.00542718360071301,-0.7242335115864528,-1.5423885918003564,-0.003838502673796786,-0.4769162210338681,-0.5412566844919786,-0.009722192513368965,0.11422459893048129,-0.02439393939393939,-0.05853832442067731,0.1364705882352941,0.0063190730837789765,-0.08570409982174687,0.7738057040998216,-2.2221212121212126,-0.27584670231729086,-0.10846702317290556,-0.15928342245989321,0.4827094474153296,0.32342602495543665,0.2302611408199642
PTS,17.46484848484849,32.46818181818181,0.1766484848484849,5.994848484848484,13.502727272727274,0.12399393939393938,11.536363636363637,18.959696969696967,0.22634242424242418,13.432727272727272,14.149090909090912,0.4110939393939393,-0.99969696969697,0.9863636363636363,4.072424242424242,0.2424242424242423,0.32333333333333336,3.141818181818182,-2.2221212121212126,54.3660606060606,41.275757575757574,-6.409090909090908,15.543242424242425,-0.10866666666666655,15.434575757575757,26.79133333333333
ORtg,11.085204991087346,13.504634581105174,0.26391800356506245,7.300267379679145,14.443761140819968,0.3088707664884134,3.7688948306595367,-0.894117647058826,0.3187682709447416,11.72245989304813,11.755525846702321,0.4148761140819963,-1.7105169340463455,0.7893939393939394,6.074509803921568,1.9812834224598934,-0.19901960784313732,-0.24723707664884112,-0.27584670231729086,41.275757575757574,82.79590017825312,-7.9652406417112305,20.58520499108734,6.190998217468807,26.776203208556154,40.43710338680928
DRtg,-1.808556149732621,-2.6748663101604286,-0.02833511586452763,-0.8352049910873439,-1.985115864527629,-0.012004456327985745,-0.9519607843137258,-0.6502673796791436,-0.047893048128342226,-1.905704099821747,-2.0038324420677363,-0.07401158645276291,-0.4112299465240642,-1.413636363636364,-1.0488413547237079,-0.8720142602495542,-0.09777183600713012,-0.3784313725490195,-0.10846702317290556,-6.409090909090908,-7.9652406417112305,7.1203208556149695,-3.335222816399288,-2.510320855614973,-5.84554367201426,-9.803966131907307
ORPM,4.582376114081996,7.56225311942959,0.06450561497326204,2.1198199643493765,4.586221033868092,0.05980449197860962,2.455752228163994,2.987221033868093,0.08301098039215687,4.224149732620322,4.310754010695188,0.1384142245989305,-0.22389839572192516,0.9965151515151512,3.5910017825311944,0.6432691622103387,-0.011761140819964355,0.8099679144385027,-0.15928342245989321,15.543242424242425,20.58520499108734,-3.335222816399288,7.122770053475935,1.710062210338681,8.832832263814618,14.811122103386811
DRPM,-0.44795900178253084,-1.863436720142602,0.014407843137254912,0.025295900178253068,-0.20630837789661313,0.010774153297682712,-0.5027967914438503,-1.6553992869875223,0.019138502673796787,0.7562495543672014,0.9362263814616759,0.001834313725490187,0.1558360071301248,1.0180303030303033,1.3202655971479504,0.8889839572192514,0.12746880570409985,0.01770409982174693,0.4827094474153296,-0.10866666666666655,6.190998217468807,-2.510320855614973,1.710062210338681,2.643490552584669,4.353552762923351,6.530314616755792
RPM,4.134417112299466,5.698816399286991,0.07891345811051695,2.145115864527629,4.37991265597148,0.07057864527629236,1.9529554367201432,1.33182174688057,0.10214948306595366,4.980399286987524,5.246980392156862,0.1402485383244207,-0.06806238859180033,2.014545454545454,4.9112673796791455,1.5322531194295903,0.11570766488413547,0.8276720142602498,0.32342602495543665,15.434575757575757,26.776203208556154,-5.84554367201426,8.832832263814618,4.353552762923351,13.18638502673797,21.341436720142596
RPM_WINS,7.24071301247772,11.131602495543673,0.10991358288770056,3.8569438502673803,8.18544652406417,0.09746744206773617,3.3207139037433153,2.974461675579321,0.1486522994652407,8.36616221033868,8.753551693404637,0.23431662210338672,0.17948128342245986,3.799439393939395,8.54114081996435,2.3769304812834227,0.08764260249554366,1.7619803921568629,0.2302611408199642,26.79133333333333,40.43710338680928,-9.803966131907307,14.811122103386811,6.530314616755792,21.341436720142596,37.08245071301249
