Season,Tm,MP,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
2005-06,NOK,71%,-0.025,-1.3,-1.3,-2.7,4.8,1.6,-0.7,-3.4,-0.6
2006-07,NOK,59%,-0.042,6.2,6.2,3.7,-0.2,0.4,-2.8,-2.6,1.3
2007-08,NOH,76%,0.004,1.2,1.2,0.8,2.8,0.4,-2.3,-3.9,9
2008-09,NOH,76%,0.097,4.7,4.7,8,-0.9,0.2,-0.2,-3.4,19.6
2009-10,NOH,43%,0.018,-3,-3,-2.7,-2,-0.4,-0.4,-3.1,5.7
2010-11,NOH,73%,0.034,1.1,1.1,-0.7,10.2,3.3,-1.4,-3.7,13.9
2011-12,LAC,79%,0.042,3,3,2.6,-0.9,0.1,-1,-3.7,14
2012-13,LAC,59%,-0.005,3.9,3.9,2.1,5.1,0.1,-2.5,-3.2,6.7
2013-14,LAC,55%,0.038,4.5,4.5,4.8,4.5,1.4,1.4,-0.4,9.1
2014-15,LAC,72%,0.086,8.7,8.7,11.1,3.5,-0.5,0.8,-2.2,20.3
2015-16,LAC,61%,0.069,6.1,6.1,8.2,5.6,-0.5,-1.3,-3,16.2
2016-17,LAC,49%,0.064,7.9,7.9,9.5,8.1,1.4,-0.7,-1.5,19.9
2017-18,HOU,47%,0.039,-2.2,-2.2,-2.4,0.2,1.3,-0.4,-3,8
2018-19,HOU,47%,0.006,-0.3,-0.3,-0.8,6.1,1.8,-0.5,-0.7,4.5
