Season,Age,Tm,FGA,FG%,3PA,3P%,2PA,2P%,eFG%,FTA,FT%,ORB,AST,STL,BLK,TOV,PF,PTS
2005-06,20,NOK,12.1,0.43,2.3,0.282,9.9,0.464,0.456,6,0.847,0.8,7.8,2.2,0.1,2.3,2.8,16.1
2006-07,21,NOK,13.6,0.437,2.2,0.35,11.4,0.455,0.466,5.6,0.818,0.8,8.9,1.8,0,2.5,2.4,17.3
2007-08,22,NOH,16.1,0.488,3.1,0.369,13,0.516,0.524,4.9,0.851,0.8,11.6,2.7,0.1,2.5,2.3,21.1
2008-09,23,NOH,16.1,0.503,2.3,0.364,13.8,0.525,0.528,6.7,0.868,0.9,11,2.8,0.1,3,2.7,22.8
2009-10,24,NOH,14.2,0.493,2.8,0.409,11.3,0.514,0.534,4.2,0.847,0.4,10.7,2.1,0.2,2.5,2.6,18.7
2010-11,25,NOH,11.6,0.463,2.3,0.388,9.3,0.482,0.502,4.8,0.878,0.5,9.8,2.4,0.1,2.2,2.5,15.9
2011-12,26,LAC,14.8,0.478,3.6,0.371,11.3,0.511,0.522,5,0.861,0.7,9.1,2.5,0.1,2.1,2.3,19.8
2012-13,27,LAC,12.2,0.481,3.3,0.328,8.9,0.538,0.526,4.6,0.885,0.8,9.7,2.4,0.1,2.3,2,16.9
2013-14,28,LAC,14,0.467,3.4,0.368,10.6,0.498,0.511,5.6,0.855,0.6,10.7,2.5,0.1,2.3,2.5,19.1
2014-15,29,LAC,14.3,0.485,4.3,0.398,10,0.523,0.545,3.9,0.9,0.6,10.2,1.9,0.2,2.3,2.5,19.1
2015-16,30,LAC,15.1,0.462,4.4,0.371,10.6,0.501,0.517,4.4,0.896,0.5,10,2.1,0.2,2.6,2.5,19.5
2016-17,31,LAC,12.9,0.476,5,0.411,7.9,0.518,0.555,4.3,0.892,0.7,9.2,2,0.1,2.4,2.4,18.1
2017-18,32,HOU,13.8,0.46,6.5,0.38,7.2,0.532,0.55,3.8,0.919,0.6,7.9,1.7,0.2,2.2,2.4,18.6
2018-19,33,HOU,12.4,0.419,6.1,0.358,6.3,0.479,0.508,3.5,0.862,0.6,8.2,2,0.3,2.6,2.5,15.6
2019-20,34,OKC,12.1,0.47,4.4,0.373,7.8,0.524,0.537,4,0.905,0.3,6.5,1.5,0.1,2.1,2.4,16.6
